NomeTime;Cidade;UF
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
Flamengo;Rio de Janeiro;RJ
